what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350853988562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350854008984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350854010244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854021745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854026804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854040011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854049122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854056018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854058655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854062081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854111624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854115622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350854115694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854117091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854178121
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854180236
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854181756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854188943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854295334
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854297592
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854334724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854335571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854338267
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854349767
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854366407
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350854368112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854384788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854395743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854397404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854400550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854413118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350854417237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350854423911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854435536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854438623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854460217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854469805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854476033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854489836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350854493007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350854496941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854507987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854540736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854543367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350854543435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854549426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854584492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854630278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854659701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854684031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854684670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854686016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854697750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350854704251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350854749196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1350854752716
